event_time_ns,event_time,instrument_id,action,quantity,reason
1719400200000000000,2024-06-26T11:10:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719416100000000000,2024-06-26T15:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719432000000000000,2024-06-26T20:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719441300000000000,2024-06-26T22:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719447900000000000,2024-06-27T00:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719465900000000000,2024-06-27T05:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719476100000000000,2024-06-27T08:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719477000000000000,2024-06-27T08:30:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719478800000000000,2024-06-27T09:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719492300000000000,2024-06-27T12:45:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1719493500000000000,2024-06-27T13:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1719500700000000000,2024-06-27T15:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
